url,type,Category,url_len,domain,@,?,-,=,.,#,%,+,$,!,*,",",//,abnormal_url,https,digits,letters,Shortining_Service,having_ip_address
http://allaroundrental.com/index.php?page=shop.product_details&category_id=33&flypage=flypage.pbv.v1.tpl&product_id=238&option=com_virtuemart&Itemid=69,defacement,1,151,allaroundrental.com,0,1,0,6,6,0,0,0,0,0,0,0,1,1,0,8,117,0,0
http://tonyveiculos.com.br/site-maps.php?codigo=528743466905975&iframe=true&width=640&height=320,defacement,1,96,tonyveiculos.com.br,0,1,1,4,3,0,0,0,0,0,0,0,1,1,0,21,59,0,0
http://acard4u.co.uk/product_reviews.php?products_id=631&op=list&action=buy_now,malware,1,79,acard4u.co.uk,0,1,0,3,3,0,0,0,0,0,0,0,1,1,0,4,59,0,0
http://crystalspringsag.org/index.php?view=article&catid=15:our-people&id=19:missionaries&tmpl=component&print=1&layout=default&page=&option=com_content&Itemid=111,defacement,1,163,crystalspringsag.org,0,1,1,9,2,0,0,0,0,0,0,0,1,1,0,8,127,0,0
http://deboermontage.nl/index.php/component/artforms/raamsystemen?formid=1,defacement,1,74,deboermontage.nl,0,1,0,1,2,0,0,0,0,0,0,0,1,1,0,1,62,0,0
http://nguyentandung.org/dieu-60-luat-bhxh-chinh-phu-va-viec-lam-chua-co-tien-le.html,benign,0,85,nguyentandung.org,0,0,12,0,2,0,0,0,0,0,0,0,1,1,0,2,65,0,0
http://sinduscongoias.com.br/index.php/comunicacao-social/revista-construir-mais,defacement,1,80,sinduscongoias.com.br,0,0,3,0,3,0,0,0,0,0,0,0,1,1,0,0,68,0,0
http://smos.cn/AboutUs.asp?id=2,defacement,1,31,smos.cn,0,1,0,1,2,0,0,0,0,0,0,0,1,1,0,1,22,0,0
http://guiadecomprasdepaulinia.com.br/ar-condicionado.html,defacement,1,58,guiadecomprasdepaulinia.com.br,0,0,1,0,3,0,0,0,0,0,0,0,1,1,0,0,50,0,0
http://hetsa.org.au/events.html,defacement,1,31,hetsa.org.au,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,24,0,0
http://maybank2u.com.my/mbb_info/m2u/public/personalBanking.do?channelId=Personal&chCatId=/mbb/Personal,benign,0,103,maybank2u.com.my,0,1,0,2,3,0,0,0,0,0,0,0,1,1,0,2,84,0,0
http://js182.com/cl/tpl/template/style/element/font-awesome.css?v=ver13.32,malware,1,74,js182.com,0,1,1,1,3,0,0,0,0,0,0,0,1,1,0,7,52,0,0
